Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage,Projected Winner's Percentage Difference,Rank Difference,Away Team,Away Percentage,Home Team,Home Percentage,Game URL
false,13,Saturday,Cleveland Browns,22,59.1,18.6,8,Cleveland Browns,59.1,Denver Broncos,40.5,https://www.espn.com/nfl/game/_/gameId/401671686/browns-broncos
false,13,Friday,New York Jets,10,57.8,15.9,8,Seattle Seahawks,41.9,New York Jets,57.8,https://www.espn.com/nfl/game/_/gameId/401671703/seahawks-jets
false,13,Friday,Cincinnati Bengals,11,56.6,13.5,12,Pittsburgh Steelers,43.1,Cincinnati Bengals,56.6,https://www.espn.com/nfl/game/_/gameId/401671627/steelers-bengals
false,13,Friday,Indianapolis Colts,19,55.3,10.9,9,Indianapolis Colts,55.3,New England Patriots,44.4,https://www.espn.com/nfl/game/_/gameId/401671620/colts-patriots
false,13,Friday,Minnesota Vikings,15,54.5,9.4,5,Arizona Cardinals,45.1,Minnesota Vikings,54.5,https://www.espn.com/nfl/game/_/gameId/401671726/cardinals-vikings
false,13,Friday,Atlanta Falcons,17,54.1,8.6,1,Los Angeles Chargers,45.5,Atlanta Falcons,54.1,https://www.espn.com/nfl/game/_/gameId/401671649/chargers-falcons
false,13,Friday,Houston Texans,6,53.8,8,7,Houston Texans,53.8,Jacksonville Jaguars,45.8,https://www.espn.com/nfl/game/_/gameId/401671705/texans-jaguars
false,13,Friday,Washington Commanders,24,52.1,4.5,1,Tennessee Titans,47.6,Washington Commanders,52.1,https://www.espn.com/nfl/game/_/gameId/401671743/titans-commanders
false,13,Friday,Baltimore Ravens,7,51.9,4.2,2,Philadelphia Eagles,47.7,Baltimore Ravens,51.9,https://www.espn.com/nfl/game/_/gameId/401671666/eagles-ravens
false,13,Friday,Buffalo Bills,4,50.7,1.8,3,San Francisco 49ers,48.9,Buffalo Bills,50.7,https://www.espn.com/nfl/game/_/gameId/401671781/49ers-bills
false,13,Friday,New Orleans Saints,14,49.9,0.2,5,Los Angeles Rams,49.7,New Orleans Saints,49.9,https://www.espn.com/nfl/game/_/gameId/401671753/rams-saints
false,14,Friday,Philadelphia Eagles,5,79.6,59.4,27,Carolina Panthers,20.2,Philadelphia Eagles,79.6,https://www.espn.com/nfl/game/_/gameId/401671713/panthers-eagles
false,14,Friday,San Francisco 49ers,1,68.1,36.4,20,Chicago Bears,31.7,San Francisco 49ers,68.1,https://www.espn.com/nfl/game/_/gameId/401671774/bears-49ers
false,14,Friday,Kansas City Chiefs,2,67.5,35.2,14,Los Angeles Chargers,32.3,Kansas City Chiefs,67.5,https://www.espn.com/nfl/game/_/gameId/401671788/chargers-chiefs
false,14,Friday,Tampa Bay Buccaneers,12,61.5,23.3,15,Las Vegas Raiders,38.2,Tampa Bay Buccaneers,61.5,https://www.espn.com/nfl/game/_/gameId/401671654/raiders-buccaneers
false,14,Friday,New York Jets,10,58.9,18.1,19,New York Jets,58.9,Miami Dolphins,40.8,https://www.espn.com/nfl/game/_/gameId/401671848/jets-dolphins
