Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage Difference,Rank Difference,Projected Winner Futures Difference,Away Team,Away Rank,Away Percentage,Away Futures NJ,Away-Home Futures NJ difference,Home Team,Home Rank,Home Percentage,Home Futures NJ,Home-Away Futures NJ difference,Game URL
false,18,Sunday,Philadelphia Eagles,7,77.9,25,-99500,Philadelphia Eagles,1,88.9,500,-99500,New York Giants,29,11,100000,99500,https://www.espn.com/nfl/game?gameId=401547650
false,18,Sunday,Dallas Cowboys,4,54.7,23,-24000,Dallas Cowboys,4,77.3,1000,-24000,Washington Commanders,25,22.6,25000,24000,https://www.espn.com/nfl/game?gameId=401547653
false,18,Sunday,San Francisco 49ers,1,48.4,11,-14500,Los Angeles Rams,20,25.7,15000,14500,San Francisco 49ers,2,74.1,500,-14500,https://www.espn.com/nfl/game?gameId=401547651
false,18,Sunday,Baltimore Ravens,3,48,14,-4250,Pittsburgh Steelers,12,25.9,5000,4250,Baltimore Ravens,3,73.9,750,-4250,https://www.espn.com/nfl/game?gameId=401547639
false,18,Sunday,Tampa Bay Buccaneers,19,30.5,12,-85000,Tampa Bay Buccaneers,21,65.1,15000,-85000,Carolina Panthers,31,34.6,100000,85000,https://www.espn.com/nfl/game?gameId=401547640
false,18,Sunday,Jacksonville Jaguars,11,29.7,17,-38000,Jacksonville Jaguars,7,64.7,2000,-38000,Tennessee Titans,26,35,40000,38000,https://www.espn.com/nfl/game?gameId=401547652
false,18,Sunday,Seattle Seahawks,15,28.6,14,-96000,Seattle Seahawks,10,64.2,4000,-96000,Arizona Cardinals,30,35.6,100000,96000,https://www.espn.com/nfl/game?gameId=401547638
false,18,Sunday,Detroit Lions,10,17.7,3,-9000,Minnesota Vikings,15,41,10000,9000,Detroit Lions,5,58.7,1000,-9000,https://www.espn.com/nfl/game?gameId=401547642
false,18,Sunday,Denver Broncos,23,17.4,7,-10000,Denver Broncos,18,58.5,15000,-10000,Las Vegas Raiders,24,41.1,25000,10000,https://www.espn.com/nfl/game?gameId=401547646
false,18,Sunday,New Orleans Saints,16,16.3,6,-14000,Atlanta Falcons,22,41.7,20000,14000,New Orleans Saints,14,58,6000,-14000,https://www.espn.com/nfl/game?gameId=401547649
false,18,Sunday,Cincinnati Bengals,9,13.5,5,-2800,Cleveland Browns,11,43.1,5000,2800,Cincinnati Bengals,9,56.6,2200,-2800,https://www.espn.com/nfl/game?gameId=401547641
false,18,Sunday,Kansas City Chiefs,2,12.3,6,-4550,Kansas City Chiefs,0,56,450,-4550,Los Angeles Chargers,13,43.7,5000,4550,https://www.espn.com/nfl/game?gameId=401547645
false,18,Sunday,Green Bay Packers,20,11.3,6,-85000,Chicago Bears,27,44.2,100000,85000,Green Bay Packers,19,55.5,15000,-85000,https://www.espn.com/nfl/game?gameId=401547643
false,18,Sunday,Miami Dolphins,6,5.4,1,-1200,Buffalo Bills,8,47.1,2200,1200,Miami Dolphins,6,52.5,1000,-1200,https://www.espn.com/nfl/game?gameId=401547647
false,18,Sunday,Houston Texans,18,5.2,3,-10000,Houston Texans,17,52.4,10000,-10000,Indianapolis Colts,23,47.2,20000,10000,https://www.espn.com/nfl/game?gameId=401547644
false,18,Sunday,New York Jets,25,0.6,1,-90000,New York Jets,16,50.1,10000,-90000,New England Patriots,28,49.5,100000,90000,https://www.espn.com/nfl/game?gameId=401547648
